Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Profit,Revenue,Discount_Amount,Net_Sales,Month,Year
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2060.4600000000005,5053.97,454.8573,4599.112700000001,2023-02,2023
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,6681.849999999995,4384.02,482.2422,3901.7778000000003,2023-04,2023
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,3295.1999999999994,4631.23,926.246,3704.9839999999995,2023-09,2023
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,5371.08000000001,2167.94,43.3588,2124.5812,2023-08,2023
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,719.4200000000004,3750.2,300.016,3450.1839999999997,2023-03,2023
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,6583.040000000001,3761.15,789.8415,2971.3085,2023-02,2023
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,6243.120000000006,618.31,86.5634,531.7466,2023-04,2023
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,12058.439999999995,7698.92,923.8704,6775.0496,2023-01,2023
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,10721.699999999997,4223.39,211.16950000000003,4012.2205000000004,2023-06,2023
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,8171.820000000004,8239.58,1071.1454,7168.4346,2023-10,2023
